ID,First Name,Last Name,Email,Join Date,Role
0,Stephen,Lopez,robin31@example.org,2022-12-09,Member
2,Alejandra,Miller,juliecraig@example.com,2024-07-10,Member
3,Julia,Nelson,robinsonshaun@example.com,2020-03-01,Member
5,Walter,Phillips,blairmonica@example.net,2023-01-14,Member
7,Jessica,Barr,jonathan38@example.net,2022-11-13,Member
8,Eric,Willis,justin20@example.org,2020-03-30,Member
9,Kevin,Mcdonald,sarah11@example.org,2022-07-18,Member
10,Nicole,Rivers,daniellejarvis@example.net,2022-11-08,Member
12,James,Long,charles84@example.com,2024-11-16,Member
13,Suzanne,Potts,collinscaitlin@example.org,2024-02-01,Member
